"Last updated","Type","Suburb","Venue","Address","Date and time of exposure","Health advice"
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Maroubra","Freshworld Fruit Market Pacific Square","707-745 Anzac Parade","1:15pm to 2:15pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Maroubra","Aldi Maroubra Pacific Square","Shop m2, 707-751 Anzac Parade","11:15am to 12pm (noon) on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"07/07/2021","Get tested immediately and self-isolate for 14 days","Marrickville","Hop and Grain Brew Store","50 Sydney Street","10:10am to 10:40am on Saturday 3 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Mortdale","Woolworths Mortdale","84D Roberts Avenue","5:30pm to 6:40pm on Wednesday 30 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Pagewood","Shell Coles Express Pagewood","297-299 Bunnerong Road","9:55am to 10am on Saturday 3 July 202111am to 11:30am on Wednesday 23 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Revesby","Bakers Delight Revesby","Shop 9/19-29 Marco Avenue","12pm (noon) to 1pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Revesby","Cha Point Revesby","Shop 7/19-29 Marco Avenue","12pm (noon) to 1pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","South Granville","Speedway South Granville Petrol Station","171 Clyde Street","8:45am to 9am on Thursday 1 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"07/07/2021","Monitor for symptoms","Strathfield","Return and Earn TOMRA Rever Vending Machine","Strathfield Train Station car park, 5 Churchill Avenue","2pm to 2:10pm on Saturday 3 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"07/07/2021","Get tested immediately and self-isolate for 14 days","Strathfield South","Dan Murphys Strathfield","350-360 Liverpool Road","5:45pm to 6pm on Saturday 3 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Waterloo","Meriton Suites Waterloo","30 Danks Street","12am (midnight) to 8am on Monday 5 July 2021All day on Sunday 4 July 2021All day on Saturday 3 July 2021All day on Friday 2 July 2021All day on Thursday 1 July 2021All day on Wednesday 30 June 2021All day on Tuesday 29 June 2021All day on Monday 28 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Waverley","Charing Cross Pizza","298 Bronte Road","4pm to 9pm on Wednesday 30 June 20214pm to 10pm on Monday 28 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"07/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Woollahra","Jims Cellars","41 Ocean Street","10:50am to 11am on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"06/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bonnyrigg","McDonalds Bonnyrigg","Corner Elizabeth Drive and Smithfield Road","6:30pm to 7:30pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"06/07/2021","Monitor for symptoms","Granville","Woolworths Metro Granville","35 East Street","11:10am to 11:20am on Wednesday 30 June 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"06/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hillsdale","Woolworths Hillsdale","South Point Shopping Centre, 238-262 Bunnerong Road","3:15pm to 4:45pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"06/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Coles Hurstville Westfield","Level 1, Westfield Hurstville, Cross Street and Park Road","1:30pm to 1:50pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"06/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","TG Farm Chickens, Westfield, Hurstville","Cross Street and Park Road","1:55pm to 2:05pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"06/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kirrawee","AJ and PM Sales, Kirrawee Lighting showroom floor (Upstairs)","63 Waratah Street","12:50pm to 12:55pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"06/07/2021","Get tested immediately and self-isolate for 14 days","Kirrawee","AJ and PM Sales, Kirrawee Trade shop floor - Ground floor-","63 Waratah Street","12:50pm to 12:55pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"06/07/2021","Monitor for symptoms","Marrickville","Marrickville Metro Shopping Centre","20 Smidmore Street","9am to 2pm on Thursday 1 July 20219am to 2pm on Wednesday 30 June 20219am to 2pm on Tuesday 29 June 20219am to 2pm on Monday 28 June 20219am to 2pm on Monday 28 June 20219am to 2pm on Sunday 27 June 20219am to 2pm on Saturday 26 June 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"06/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Menai","Big W Menai","152/194 Allison Crescent","1:15pm to 2pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"06/07/2021","Get tested immediately and self-isolate for 14 days","Parramatta","Coles Parramatta Westfield","159-175 Church St","5:45pm to 6:05pm on Wednesday 30 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"06/07/2021","Get tested immediately and self-isolate for 14 days","Parramatta","Country Growers Parramatta","159-175 Church Street","5:35pm to 5:55pm on Wednesday 30 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"06/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Riverwood","St. George Bank Riverwood Branch","247 Belmore Road","1pm to 5pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"06/07/2021","Get tested immediately and self-isolate for 14 days","Roselands","Commonwealth Bank Roselands","Roselands Shopping Centre, 24 Roselands Drive","8am to 3:30pm on Wednesday 30 June 20218am to 5pm on Tuesday 29 June 20218am to 5pm on Monday 28 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"06/07/2021","Get tested immediately and self-isolate for 14 days","Toongabbie","Toongabbie Construction","74 Aurelia Street","7am to 5pm on Friday 2 July 20217am to 5pm on Thursday 1 July 20217am to 5pm on Wednesday 30 June 20217am to 5pm on Tuesday 29 June 20217am to 5pm on Monday 28 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"06/07/2021","Monitor for symptoms","Wahroonga","Sydney Adventist Hospital - Tulloch Hub area (where the Main Entrance is located)","185 Fox Valley Road","2pm to 2:15pm on Monday 28 June 20214:30pm to 4:45pm on Monday 28 June 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"06/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","JD Sports Shop, Stocklands Wetherill Park Shopping Centre","561-583 Polding Street","4:30pm to 5pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"05/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Auburn","Pindi Supermarket","6/57-59 Queen Street","5:40pm to 5:50pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"05/07/2021","Get tested immediately and self-isolate for 14 days","Belfield","Bridge of Belfield Pharmacy","9 Burwood Road","8:20am to 8:40am on Monday 28 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"05/07/2021","Get tested immediately and self-isolate for 14 days","Edmondson Park","Frango Charcoal Chicken Edmondson Park","8/2074 Camden Valley Way","9am to 3pm on Friday 2 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"05/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kingsgrove","Bunnings Kingsgrove","Corner Richland Street and Kingsgrove Road","3:40pm to 3:50pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"05/07/2021","Get tested immediately and self-isolate for 14 days","Marrickville","Little Hong Kong Marrickville","Marrickville Metro Shopping Centre","9am to 2pm on Thursday 1 July 20219am to 2pm on Wednesday 30 June 20219am to 2pm on Tuesday 29 June 20219am to 2pm on Monday 28 June 20219am to 2pm on Sunday 27 June 20219am to 2pm on Saturday 26 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"05/07/2021","Get tested immediately and self-isolate for 14 days","Rydalmere","Aldi Rydalmere","359/363 Victoria Road","2pm to 8:30pm on Friday 2 July 20218am to 3pm on Thursday 1 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"04/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Eastern Creek","Eastern Creek Quarter - Fruitworld","159 Rooty Hill Road","10:40am to 11:10am on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"04/07/2021","Monitor for symptoms","Eastern Creek","Eastern Creek Quarter - rest of shopping centre","159 Rooty Hill Road","10:40am to 11:10am on Tuesday 29 June 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"04/07/2021","Get tested immediately and self-isolate for 14 days","Five Dock","Bendos Premium Meats","87 Great North Road","10:30am to 11:15am on Tuesday 29 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"04/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Five Dock","Coles Five Dock","4/12 Garfield Street","8:30am to 9am on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"04/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Randwick","Coles Randwick Plaza","148 Belmore Road","4:20pm to 4:50pm on Monday 28 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"04/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Roselands","Priceline Roselands","Roselands Shopping Centre, 24 Roselands Drive","4:40pm to 4:55pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"04/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Rushcutters Bay","Lot 19 Cafe","Craigmore, 38 Roslyn Gardens","8:25am to 8:35am on Thursday 1 July 20218:25am to 8:35am on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Auburn","Aldi Auburn Supermarket","Auburn Central 57-59 Queen Street","5:35pm to 5:45pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately. People with no symptoms do not need to isolate while waiting for their test result.","Auburn","Auburn town centre","Auburn town centre","All day on Saturday 3 July 2021All day on Friday 2 July 2021All day on Thursday 1 July 2021All day on Wednesday 30 June 2021All day on Tuesday 29 June 2021All day on Monday 28 June 2021All day on Sunday 27 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested immediately. If you have no symptoms you do not need to self-isolate while waiting for your test result. You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Auburn","Hamro Asan Bazarr","Shop 6 8-10 Northumberland Road","3:30pm to 4:30pm on Monday 28 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Monitor for symptoms","Bondi Junction","Woolworths Bondi Junction","530 Oxford Street","9am to 9:15am on Monday 28 June 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bonnyrigg","Aldi Bonnyrigg","718 Cabramatta Road W","6pm to 6:30pm on Wednesday 30 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately and self-isolate for 14 days","Botany","Service NSW Botany","5 Lord Street","8am to 5pm on Thursday 1 July 20218am to 5pm on Wednesday 30 June 20218am to 5pm on Monday 28 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Drummoyne","Chemist Warehouse Drummoyne","Birkenhead point, 19 Rosebery Street","9:45am to 10:30am on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately and self-isolate for 14 days","Five Dock","Chemist Warehouse Five Dock","89 Great North Road","10:30am to 10:40am on Tuesday 29 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"03/07/2021","Get tested immediately and self-isolate for 14 days","Five Dock","Pharmacy 4 Less Five Dock","1a/125 Great North Road","10:40am to 10:55am on Tuesday 29 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Homebush West","Di Yuan Asian Groceries","Shopp 1-3 90-95 The Crescent","4:20pm to 4:30pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Homebush West","K.W. Barbeque Shop","10/90-95 The Crescent","4pm to 4:15pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Homebush West","Tan Huong Long Supermarket","90-95 The Crescent","4:30pm to 4:45pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Lakemba","Aldi Lakemba","212-226 Haldon Street","11:30am to 11:45am on Wednesday 30 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately and self-isolate for 14 days","Lakemba","Hop Hung Asian Grocery","38C Haldon Street","11:20am to 11:40am on Wednesday 30 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Parramatta","Spices of India","111-113 Church Street","6pm to 6:15pm on Wednesday 30 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Monitor for symptoms","Parramatta","Westfield Parramatta (whole complex)","159-175 Church Street","5:30pm to 6:15pm on Wednesday 30 June 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Potts Point","Woolworths Metro Potts Point","Icon Building, 81 Macleay Street","6:15pm to 6:30pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Strathfield","Strathfield Plaza","11 The Boulevard","11:45am to 12:35pm on Tuesday 29 June 202110:55am to 11:15am on Sunday 27 June 20211:15pm to 2:15pm on Thursday 1 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"03/07/2021","Get tested immediately and self-isolate for 14 days","Strathfield","Strathfield Plaza Medical Practice","11-23 Boulevarde","1:30pm to 2:10pm on Thursday 1 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"02/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bondi","Blair St Dairy","27 Blair Street","8am to 8:30am on Monday 28 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"02/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bondi","Porch and Parlour","17/110 Ramsgate Avenue","7:50am to 8:10am on Monday 28 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"02/07/2021","Get tested immediately and self-isolate for 14 days","Eastlakes","Australia Post Office","Shop 9, 20 Evans Avenue","1pm to 2pm on Wednesday 30 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"02/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Eastlakes","Eastlakes Shopping Centre","19a Evans Avenue","1pm to 2pm on Wednesday 30 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"02/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kirrawee","Bunnings Kirrawee","127-141 Bath Road","1pm to 1:15pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"02/07/2021","Get tested immediately and self-isolate for 14 days","Lakemba","Fresh Quality Fruit and Vegetables","2/40 Haldon Sttreet","11:20am to 11:40am on Wednesday 30 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"02/07/2021","Monitor for symptoms","Maroubra","Pacific Square Shoping centre","737 Anzac Parade","All day on Tuesday 29 June 2021All day on Monday 28 June 2021All day on Sunday 27 June 2021All day on Saturday 26 June 2021All day on Friday 25 June 2021All day on Thursday 24 June 2021All day on Wednesday 23 June 2021","Anyone who visited this venue on the days listed (outside of 6pm to 7pm on Wednesday 23 June 2021 or 6pm to 6:45pm on Thursday 24 June 2021) must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
